Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0603_1608Metric,116.9,-82.5,90.0,top
C10,1u,C_0603_1608Metric,129.75,-85.75,-90.0,top
C11,18p,C_0402_1005Metric,131.73,-69.75,0.0,top
C12,18p,C_0402_1005Metric,134.25,-72.75,90.0,top
C13,10u,C_0603_1608Metric,121.75,-84.5,-90.0,top
C14,100n,C_0402_1005Metric,130.0,-69.5,90.0,top
C15,100n,C_0402_1005Metric,112.25,-76.48,-90.0,top
C16,100n,C_0402_1005Metric,135.0,-79.75,0.0,top
C17,100n,C_0402_1005Metric,123.25,-84.0,-90.0,top
C19,1u,C_0603_1608Metric,128.75,-63.25,-90.0,top
C2,100n,C_0402_1005Metric,119.0,-84.0,-90.0,top
C20,10u,C_0603_1608Metric,128.75,-59.75,90.0,top
C21,22u,C_0805_2012Metric,130.75,-63.25,-90.0,top
C22,100n,C_0402_1005Metric,125.0,-69.75,-90.0,top
C23,100n,C_0402_1005Metric,126.25,-69.75,-90.0,top
C24,100n,C_0402_1005Metric,117.5,-71.75,0.0,top
C25,100n,C_0402_1005Metric,117.5,-70.5,0.0,top
C26,100n,C_0402_1005Metric,131.75,-78.25,0.0,top
C27,100n,C_0402_1005Metric,131.75,-79.5,0.0,top
C28,100n,C_0402_1005Metric,116.75,-78.0,0.0,top
C29,100n,C_0402_1005Metric,116.75,-76.75,0.0,top
C3,100n,C_0402_1005Metric,134.0,-77.5,0.0,top
C30,10u,C_0603_1608Metric,119.0,-53.675,90.0,top
C31,100n,C_0402_1005Metric,120.18,-56.2,180.0,top
C32,100n,C_0402_1005Metric,119.75,-62.4,180.0,top
C33,100n,C_0402_1005Metric,128.75,-66.0,45.0,top
C34,100n,C_0402_1005Metric,128.0,-57.1,0.0,top
C35,100n,C_0402_1005Metric,128.02,-56.0,0.0,top
C36,100n,C_0402_1005Metric,127.6,-54.28,90.0,top
C37,18p,C_0402_1005Metric,126.5,-54.27,-90.0,top
C38,18p,C_0402_1005Metric,120.5,-54.27,90.0,top
C39,10u,C_0603_1608Metric,119.75,-66.25,-135.0,top
C4,100n,C_0402_1005Metric,129.5,-67.5,90.0,top
C40,100n,C_0402_1005Metric,119.0,-64.75,-135.0,top
C41,100n,C_0402_1005Metric,136.15,-101.25,-90.0,top
C42,22u,C_0805_2012Metric,128.15,-98.25,-90.0,top
C43,22u,C_0805_2012Metric,128.15,-94.25,90.0,top
C44,10u,C_0603_1608Metric,133.4,-104.5,0.0,top
C45,18p,C_0402_1005Metric,127.25,-104.75,0.0,top
C46,1u,C_0603_1608Metric,127.0,-63.5,-90.0,top
C47,100n,C_0402_1005Metric,121.75,-64.25,90.0,top
C48,100n,C_0402_1005Metric,123.0,-64.25,90.0,top
C49,100n,C_0402_1005Metric,116.0,-51.25,0.0,top
C5,100n,C_0402_1005Metric,120.25,-69.75,90.0,top
C50,10u,C_0603_1608Metric,118.0,-93.1,0.0,top
C51,100n,C_0402_1005Metric,117.5,-91.5,0.0,top
C52,18p,C_0402_1005Metric,129.0,-104.52,90.0,top
C53,1u,C_0603_1608Metric,118.0,-111.0,90.0,top
